#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-07-29T05:38:46 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to: question@simbad.u-strasbg.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.97 (28-Nov-2012) 
#INFO -ref=VIZ51f5e9e84e90 
#INFO -out.max=9999 
#INFO queryParameters=16 
#-oc.form=sexa
#-out.max=9999
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/A+A/484/609&tab:{J/A+A/484/609/catalog}&key:source=J/A+A/484/609&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/484/609/catalog
#-order=I
#-out=Bmag
#-out=Vmag
#-out=Icmag
#-out=Pmb
#

#RESOURCE=yCat_34840609
#Name: J/A+A/484/609
#Title: BVI photometry and proper motions in M67 (Yadav+, 2008)
#Table J_A_A_484_609_catalog:
#Name: J/A+A/484/609/catalog
#Title: M67 catalog
#---Details of Columns:
    _RAJ2000 ("h:m:s") (A12)   Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data) [ucd=pos.eq.ra]
08 51 50.345 +11 45 44.32        21.525 19.604  54
08 51 08.901 +11 45 45.01 21.697 21.845         55
08 51 57.870 +11 45 45.94 16.353 15.438 14.383  17
08 50 19.614 +11 45 44.68 15.509 14.847 14.139  83
08 51 11.138 +11 45 46.20 22.160 22.079          0
08 51 08.073 +11 45 46.57 19.608 18.056 16.388  18
08 51 21.221 +11 45 47.27 22.204 21.042 20.590   0
08 51 11.754 +11 45 47.50 21.621 21.226 19.112  39
08 51 03.256 +11 45 47.39 13.268 12.646 11.955 100
08 51 31.237 +11 45 50.63 13.224 12.617 11.940 100
08 50 19.573 +11 45 48.91 21.888 20.223 18.277  24
08 51 52.390 +11 45 51.54 20.278 18.607 16.758  29
08 52 15.487 +11 45 51.96 22.316 22.126         50
08 50 59.011 +11 45 51.23 17.540 16.609 15.571   5
08 50 39.766 +11 45 50.83 20.680 18.972 17.022  50
08 52 18.253 +11 45 52.20 19.996 18.816 17.296   0
08 51 20.329 +11 45 52.44 13.734 13.152 12.498 100
08 51 21.223 +11 45 52.72 12.838 12.247 11.589  97
08 51 34.247 +11 45 53.55 15.836 14.948 14.010  98
08 51 11.537 +11 45 53.32 17.019 16.150 15.154  71
08 51 11.583 +11 45 53.65 16.422 15.552 14.622  22
08 50 55.820 +11 45 53.58 20.246 18.551 16.671  57
08 51 17.992 +11 45 54.19 13.315 12.732 12.089  99
08 51 59.523 +11 45 56.36 22.363 20.917 18.806   2
08 52 18.176 +11 45 56.77 22.082 21.222 19.893   7
08 51 04.827 +11 45 56.85 14.202 13.544 12.841 100
08 50 13.278 +11 45 56.48        17.802 16.184  49
08 51 42.552 +11 45 58.83 16.576 15.508 14.420   0
08 51 33.357 +11 45 59.72 16.001 15.192 14.312  98
08 51 32.629 +11 45 59.84 21.298 19.158 16.889  45
08 51 56.318 +11 46 00.65 22.068 20.839 19.556   0
08 51 40.566 +11 46 00.76 20.422 20.605 20.646  49
08 52 13.432 +11 46 01.26 13.894 13.400 12.801  99
08 51 56.100 +11 46 01.55 21.812 21.474 20.645  47
08 52 02.762 +11 46 03.86 13.729 13.148 12.484 100
08 51 20.550 +11 46 04.85 13.769 13.179 12.521 100
08 51 21.564 +11 46 06.18 12.490 11.401 10.347  98
08 51 50.203 +11 46 06.89 11.661 10.696  9.736  96
08 50 33.606 +11 46 06.03 21.466 19.512 17.224  25
08 51 58.192 +11 46 08.15 21.470 20.374 19.065   0
08 52 03.083 +11 46 08.66        21.446 19.837  22
08 50 22.405 +11 46 07.46 21.690 21.424 20.505  41
08 50 57.450 +11 46 08.66 21.772 21.309 20.773  50
08 51 35.213 +11 46 11.80 17.437 16.695 15.913   9
08 50 50.506 +11 46 11.17 21.830 21.242 19.678  13
08 51 13.143 +11 46 11.81 22.095 20.444 18.005  29
08 51 08.638 +11 46 11.78 13.976 13.422 12.774 100
08 51 48.330 +11 46 13.16 21.491 22.174         18
08 51 38.746 +11 46 13.15 22.265 20.421 18.074  18
08 51 31.675 +11 46 13.34 22.053 20.410 18.646   1
08 50 59.232 +11 46 12.98 14.038 13.434 12.748 100
08 50 22.095 +11 46 13.70 21.913 20.949 19.474  23
08 51 33.685 +11 46 16.16 19.652 18.090 16.416  34
08 51 13.398 +11 46 15.98 20.305 19.353 18.369   4
08 51 20.573 +11 46 16.36 13.344 12.896 12.356 100
08 50 29.228 +11 46 15.58 21.385 19.636 17.508  49
08 51 09.915 +11 46 16.92 15.220 14.547 13.785  99
08 51 03.614 +11 46 17.26 16.881 16.154 15.377   4
08 51 09.850 +11 46 19.59 21.659 21.724          2
08 51 20.274 +11 46 19.84 19.222 17.708 16.013  84
08 50 17.176 +11 46 18.25        22.028         13
08 52 13.400 +11 46 20.77 21.671 22.231         10
08 52 05.109 +11 46 21.40 15.497 14.755 13.923  97
08 51 12.294 +11 46 21.27 13.796 13.199 12.519 100
08 51 37.555 +11 46 21.86 18.946 17.947 16.879   0
08 50 24.347 +11 46 20.48 21.472 20.214 17.909  36
08 50 30.090 +11 46 20.99 21.705 20.859 19.792   4
08 51 23.149 +11 46 23.70 22.124 20.342 17.926   3
08 51 44.008 +11 46 24.50 13.497 12.753 11.953 100
08 51 29.982 +11 46 24.23 19.013 17.652 16.123  79
08 50 28.399 +11 46 23.31 20.847 20.848 19.918  35
08 52 24.798 +11 46 26.65 18.220 17.550 16.746   0
08 51 46.416 +11 46 26.68 13.951 13.382 12.731  87
08 51 32.160 +11 46 27.02 17.502 16.368 15.094  96
08 51 07.358 +11 46 27.89 16.141 15.354 14.498  96
08 50 33.922 +11 46 27.27 13.327 12.793 12.182  97
08 52 04.333 +11 46 29.74 22.216 20.342 17.840  33
08 50 30.840 +11 46 28.60 21.946 21.180 18.865  31
08 51 33.211 +11 46 30.51 21.866 19.808 17.394  34
08 51 03.801 +11 46 30.21 21.523 21.162 20.054   0
08 51 44.849 +11 46 31.01 19.801 18.267 16.531  60
08 52 15.823 +11 46 31.93 15.675 14.924 14.107  98
08 52 06.083 +11 46 32.02        21.529 19.671  11
08 52 14.412 +11 46 32.99 16.619 15.667 14.539  96
08 51 37.056 +11 46 32.92 21.105 19.356 17.080  50
08 52 23.339 +11 46 33.16 21.994 20.864 18.655  18
08 51 58.614 +11 46 33.87 22.252 20.124 18.038  29
08 51 36.011 +11 46 33.57 13.401 12.678 11.891  99
08 52 13.734 +11 46 33.96        21.665 20.457   0
08 52 07.089 +11 46 33.98 21.351 19.696 17.793   3
08 52 16.002 +11 46 34.50 20.356 18.885 16.925  43
08 51 53.784 +11 46 34.59 16.182 15.375 14.497   3
08 51 22.282 +11 46 34.87 21.523 22.272         38
08 50 56.308 +11 46 34.61 17.230 16.193 14.975   0
08 51 52.900 +11 46 35.80 17.029 15.960 14.769   4
08 50 23.327 +11 46 34.69 20.417 19.915 19.238   2
08 51 42.678 +11 46 36.56 12.973 12.397 11.694   7
08 51 32.148 +11 46 36.58 20.246 18.516 16.465  62
08 50 34.331 +11 46 35.26 19.976 18.420 16.651  65
08 52 02.710 +11 46 37.19 21.806 19.951 17.778   1
08 50 38.572 +11 46 36.48 16.207 15.375 14.513  97
08 51 40.457 +11 46 37.82 14.427 13.833 13.167 100
08 51 23.776 +11 46 37.81        21.295 19.648  49
08 52 05.387 +11 46 39.48        21.269 19.373   1
08 51 48.845 +11 46 40.71 21.782 20.935 18.428  47
08 51 44.314 +11 46 40.89 21.564 20.993 20.271   1
08 51 22.051 +11 46 40.96 13.766 13.190 12.542 100
08 51 22.988 +11 46 41.77 20.762 19.058 17.102  51
08 51 20.123 +11 46 41.71 13.325 12.760 12.121 100
08 52 12.593 +11 46 43.07 23.391 21.626 19.405  15
08 51 55.666 +11 46 43.09 20.364 18.757 16.888   0
08 52 05.520 +11 46 43.91 16.305 15.562 14.753   0
08 52 05.520 +11 46 43.91 16.306 15.561 14.753   0
08 50 57.876 +11 46 44.20 22.170 21.007 18.260   3
08 50 23.913 +11 46 43.46 16.767 16.007 15.213   0
08 51 18.174 +11 46 45.11 20.421 19.464 18.495   8
08 51 32.381 +11 46 45.67 15.287 14.592 13.793  99
08 51 20.035 +11 46 45.46 20.941 19.203 17.123  48
08 51 44.740 +11 46 46.02 13.848 12.944 12.005  99
08 52 09.617 +11 46 46.20 14.578 13.989 13.301  99
08 52 21.842 +11 46 46.68 14.287 13.687 13.004  94
08 51 58.513 +11 46 47.21 22.535 21.193 20.648   0
08 50 15.397 +11 46 47.27        20.640 19.295   2
08 51 08.230 +11 46 48.97        21.094 19.051  43
08 51 28.344 +11 46 49.47 15.840 14.955 13.994  86
08 51 58.519 +11 46 52.94 13.031 12.427 11.721   1
08 51 56.746 +11 46 54.60 17.755 16.603 15.281  26
08 51 17.736 +11 46 54.70 16.833 15.773 14.633  97
08 50 38.733 +11 46 53.68 21.382 19.941 18.670  14
08 51 19.902 +11 46 54.83 22.002 20.858 20.740   7
08 51 32.196 +11 46 55.24 17.248 16.245 15.109  94
08 51 37.251 +11 46 55.71 14.646 14.007 13.283  99
08 51 03.618 +11 46 55.13 21.825 20.211 17.876  21
08 51 34.121 +11 46 55.76 14.819 14.180 13.475  99
08 51 43.777 +11 46 56.07 21.460 20.716 19.751  31
08 50 58.123 +11 46 55.74        21.011 19.124  45
08 50 38.899 +11 46 55.66 16.300 15.384 14.402  98
08 51 29.500 +11 46 57.19        21.177 19.036  19
08 51 27.183 +11 46 56.97 22.136 20.755 19.443  10
08 52 21.561 +11 46 58.52 21.728 20.520 18.812  41
08 50 17.177 +11 46 56.70        21.411 19.612  28
08 52 22.705 +11 47 00.02 21.058 20.905 20.152   4
08 51 19.906 +11 47 00.37 12.590 12.136 11.587  97
08 50 11.715 +11 46 59.08        17.134         69
08 51 30.423 +11 47 01.59 19.130 17.735 16.154  84
08 51 18.687 +11 47 02.67 13.387 12.588 11.700 100
08 51 19.866 +11 47 03.28 17.291 16.314 15.223  91
08 51 12.425 +11 47 06.23 19.151 17.688 16.045  84
08 51 05.322 +11 47 06.71 20.914 19.099 16.630   0
08 52 11.920 +11 47 08.16        21.318 19.022  12
08 50 36.743 +11 47 07.57 16.250 15.403 14.542  97
08 52 07.301 +11 47 09.04 15.330 14.722 14.016   0
08 50 32.775 +11 47 07.57 21.899 20.911 18.547  39
08 50 21.190 +11 47 07.17 21.750 21.013 19.200  14
08 51 49.231 +11 47 09.55 18.110 17.261 16.315  74
08 51 24.117 +11 47 09.34 14.104 13.478 12.781  99
08 51 47.422 +11 47 09.66 15.088 14.318 13.455  99
08 51 10.507 +11 47 09.16 22.020 20.952 19.396  17
08 51 11.409 +11 47 11.00 20.057 18.322 16.205  74
08 51 03.307 +11 47 10.86 20.533 19.088 17.397  17
08 51 24.052 +11 47 11.66 14.354 14.021 15.137   0
08 51 54.053 +11 47 12.25 20.417 18.620 16.576   0
08 51 08.384 +11 47 12.11 13.323 12.361 11.383  96
08 51 41.580 +11 47 13.17 22.068 20.461 18.005  27
08 51 14.197 +11 47 13.74 20.033 18.464 16.671  71
08 50 52.923 +11 47 13.15 20.484 19.659 18.774  42
08 51 12.220 +11 47 14.84 15.872 15.110 14.258  98
08 51 23.804 +11 47 16.03 13.621 12.827 11.992 100
08 51 12.964 +11 47 16.07 19.857 19.299 18.616  15
08 51 29.906 +11 47 16.85 11.029  9.586  8.250  98
08 50 36.638 +11 47 18.71 22.520 21.124 20.275  15
08 51 19.002 +11 47 21.23 20.217 18.677 16.819  62
08 50 15.240 +11 47 20.84        19.962 18.035  18
08 50 08.840 +11 47 21.43        21.233         23
08 51 14.760 +11 47 23.97 13.379 12.821 12.179 100
08 52 10.003 +11 47 24.75 18.727 17.404 15.920  78
08 51 29.249 +11 47 24.39 22.572 21.369 18.821   0
08 51 56.587 +11 47 24.95 14.997 14.358 13.649  97
08 51 36.751 +11 47 28.12 19.959 18.437 16.667   0
08 51 31.697 +11 47 28.23 22.191 20.941 18.390  16
08 51 36.804 +11 47 28.35 21.186 19.888 17.338   0
08 51 24.299 +11 47 28.36 15.678 14.947 14.164  98
08 51 12.698 +11 47 29.60        20.738 18.347  29
08 51 02.432 +11 47 29.29        21.550 20.590   7
08 51 06.439 +11 47 30.65 17.414 16.406 15.288  94
08 52 05.036 +11 47 31.48 20.356 19.854 19.276   1
08 52 03.946 +11 47 32.48 22.075 20.358 17.879  29
08 51 27.295 +11 47 32.99 15.234 14.745 14.135   8
08 51 39.069 +11 47 33.35        21.015 19.582  40
08 50 30.171 +11 47 32.26 21.895 21.209 19.147  11
08 52 01.489 +11 47 34.42 21.711 19.757 17.567  35
08 51 25.371 +11 47 34.23 13.138 12.536 11.852 100
08 50 29.503 +11 47 32.96 21.740 20.560 18.781  35
08 50 53.164 +11 47 34.18 13.842 13.276 12.614  99
08 51 44.226 +11 47 35.13 21.977 20.726 18.661  29
08 51 48.667 +11 47 35.57 15.532 14.783 13.944  98
08 51 41.496 +11 47 36.14 14.726 14.090 13.382  99
08 52 04.958 +11 47 38.01 15.746 14.995 14.180   0
08 52 16.499 +11 47 38.18 15.539 14.822 14.025  98
08 51 35.255 +11 47 39.74 21.083 19.336 17.289  54
08 50 09.469 +11 47 37.97        20.076          0
08 51 28.973 +11 47 42.97 16.687 15.719 14.631  93
08 51 39.286 +11 47 43.35 18.486 17.222 15.838  89
08 50 59.950 +11 47 44.09 21.406 20.632 19.932  13
08 51 54.503 +11 47 45.93 19.451 18.946 18.290   0
08 51 45.078 +11 47 45.94 12.505 11.465 10.417  97
08 51 27.989 +11 47 45.99 21.971 21.223 20.483  41
08 51 36.076 +11 47 47.01 15.144 14.477 13.745  99
08 51 23.299 +11 47 47.03 17.432 16.416 15.277  96
08 50 40.793 +11 47 46.22 13.328 12.789 12.176 100
08 51 30.625 +11 47 47.39 17.019 16.002 15.051   1
08 50 21.041 +11 47 46.04 16.718 16.040 15.367   0
08 52 03.502 +11 47 48.09 15.201 14.559 13.824 100
08 51 01.559 +11 47 50.18 14.084 13.498 12.828 100
08 51 02.312 +11 47 51.82 16.084 15.512 14.824   0
08 51 32.447 +11 47 52.35 13.251 12.631 11.931 100
08 50 51.329 +11 47 52.12 22.243 20.576 18.162  31
08 51 25.661 +11 47 53.65 21.555 21.333 18.808  31
08 50 56.110 +11 47 53.83 21.759 21.135 18.773  39
08 51 19.181 +11 47 54.64 14.260 13.685 13.007 100
08 51 39.052 +11 47 55.37 14.386 13.712 12.992  99
08 52 17.700 +11 47 56.19 22.076 20.735 19.285   6
08 51 43.982 +11 47 57.21 21.008 21.442 19.710  21
08 51 41.511 +11 47 59.34 20.265 19.474 18.618  28
08 51 20.957 +11 47 59.06 20.793 20.453 19.806  21
08 51 58.484 +11 47 59.81 21.669 20.341 19.070   8
08 50 15.682 +11 47 58.15 22.273 19.843 17.444  21
08 50 53.696 +11 47 59.75        21.044 18.643  55
08 50 08.942 +11 47 58.55        22.263          9
08 52 09.133 +11 48 01.13 19.533 18.753 17.932  11
08 51 55.915 +11 48 01.22        20.959 18.741  34
08 51 32.403 +11 48 01.20 13.573 12.752 11.893 100
08 51 22.803 +11 48 01.73 11.552 10.413  9.338  98
08 51 48.946 +11 48 02.17 15.151 14.492 13.760  93
08 50 36.832 +11 48 00.80 15.415 14.599 13.753  69
08 51 28.698 +11 48 02.18 14.450 13.800 13.040 100
08 51 24.844 +11 48 04.00 15.237 14.513 13.669  99
08 50 38.509 +11 48 02.99 21.890 21.368 20.016   4
08 52 16.458 +11 48 06.23 16.785 16.104 15.327  35
08 50 36.804 +11 48 05.17 20.676 19.036 17.101  11
08 51 12.668 +11 48 06.36 17.400 16.701 15.892   0
08 50 58.452 +11 48 06.66 16.569 15.700 14.749  96
08 52 06.532 +11 48 07.92 19.408 18.712 17.922   0
08 51 21.324 +11 48 08.27 20.119 19.191 18.143   0
08 51 07.812 +11 48 09.27 11.935 11.531 11.029  75
08 51 27.259 +11 48 09.96 19.231 17.667 15.899  84
08 52 08.451 +11 48 10.47 15.377 14.675 13.903  99
08 50 21.651 +11 48 09.22 21.610 21.363 20.474  39
08 50 21.502 +11 48 09.15 21.812 21.286 19.120   2
08 50 53.532 +11 48 10.65        21.114 18.901  11
08 51 56.540 +11 48 12.48 14.536 13.946 13.273  99
08 50 31.746 +11 48 11.93 22.044 20.641 17.924  34
08 52 00.376 +11 48 13.58 18.278 17.447 16.523   0
08 51 25.270 +11 48 13.54 14.878 14.177 13.386  99
08 52 15.869 +11 48 14.77 17.116 16.402 15.591   0
08 51 58.796 +11 48 14.81 16.371 15.535 14.625  96
08 50 15.558 +11 48 12.85 19.701 18.187 16.454   1
08 52 08.624 +11 48 15.80 14.278 13.730 13.075   0
08 51 58.098 +11 48 16.02 17.071 16.043 14.879  92
08 50 21.950 +11 48 14.44 22.105 20.447 18.215  36
08 51 01.234 +11 48 18.30 21.207 19.990 18.801   0
08 50 58.912 +11 48 19.25 14.344 13.770 13.101  99
08 50 12.785 +11 48 18.45        17.777          0
08 51 53.353 +11 48 20.83 13.256 12.712 12.054  94
08 51 09.246 +11 48 20.61 13.928 13.369 12.727 100
08 50 31.912 +11 48 19.64 22.660 21.882 20.566  23
08 50 20.189 +11 48 20.06 22.011 20.689 18.507  34
08 51 32.393 +11 48 21.85 18.768 18.212 17.521   0
08 51 24.086 +11 48 21.87 13.393 12.823 12.173 100
08 51 18.976 +11 48 21.73 21.376 19.828 17.635  18
08 51 01.219 +11 48 21.44 17.831 16.735 15.513  88
08 51 58.140 +11 48 23.27 19.500 18.971 18.265   0
08 51 00.702 +11 48 23.35 20.515 19.446 18.241   3
08 50 11.299 +11 48 22.02        21.998         44
08 51 32.575 +11 48 24.10 14.795 14.171 13.482  99
08 50 26.990 +11 48 22.96 21.620 21.116 20.323   6
08 50 29.053 +11 48 23.68 20.851 19.269 17.226  56
08 50 24.445 +11 48 23.95 21.456 21.318 20.355   0
08 51 27.536 +11 48 26.18 22.019 21.189 20.359  12
08 51 23.277 +11 48 26.51 15.158 14.320 13.359  99
08 51 01.614 +11 48 26.09 21.166 21.818         45
08 51 24.142 +11 48 26.67 18.191 17.018 15.712  91
08 51 12.025 +11 48 26.69 15.571 14.873 14.107  97
08 51 19.216 +11 48 26.97 19.358 17.921 16.195  82
08 51 26.011 +11 48 27.32 19.304 17.881 16.242  82
08 51 22.140 +11 48 27.90 16.572 15.694 14.705  97
08 51 09.561 +11 48 28.02 22.058 20.674 18.863  51
08 51 57.864 +11 48 29.79 23.241 20.456 18.090   2
08 50 59.024 +11 48 29.13 17.084 16.137 15.059  96
08 52 16.842 +11 48 31.20 15.287 14.448 13.430  99
08 50 52.561 +11 48 30.16 21.574 21.382 20.571  56
08 52 17.816 +11 48 32.00 21.697 21.365 20.681  33
08 51 20.705 +11 48 31.46 20.187 18.547 16.592  54
08 51 18.896 +11 48 32.35 20.768 20.316 19.741   3
08 50 26.988 +11 48 31.28 13.881 13.246 12.584  90
08 51 28.460 +11 48 33.03 21.639 21.011 19.556  37
08 51 46.109 +11 48 33.47 16.556 15.945 15.263   0
08 51 35.355 +11 48 33.47 21.946 20.120 18.837   0
08 51 58.774 +11 48 33.92 18.736 17.698 16.527   0
08 50 33.602 +11 48 32.31 20.504 19.481 18.280  24
08 51 10.128 +11 48 33.87 22.480 20.516 18.243  37
08 50 31.015 +11 48 32.86 21.361 20.341 19.304   2
08 51 45.736 +11 48 34.60 20.814 20.974 20.876   1
08 52 14.773 +11 48 35.00 21.849 20.693 18.222  19
08 51 12.226 +11 48 34.71 14.471 13.900 13.238  99
08 51 19.889 +11 48 37.61 17.888 16.881 15.812   5
08 51 55.588 +11 48 38.17 14.549 13.883 13.149  35
08 51 20.812 +11 48 37.66 21.469 20.805 19.996   0
08 51 08.904 +11 48 37.74 14.688 13.992 13.221   2
08 50 59.433 +11 48 39.01 21.851 20.763 19.445  28
08 51 02.106 +11 48 39.48 22.732 21.121 19.593  16
08 51 26.835 +11 48 40.50 11.016 10.452  9.776  84
08 50 31.678 +11 48 39.56 21.725 19.771 17.480   6
08 51 19.908 +11 48 40.74 18.576 18.861 19.139  11
08 51 47.742 +11 48 41.45 21.076 19.478 17.611   0
08 50 12.953 +11 48 40.15        20.914         35
08 51 08.150 +11 48 42.25 18.555 17.047 15.254   0
08 51 11.528 +11 48 42.72 19.122 18.072 16.886   0
08 50 18.979 +11 48 41.54 21.407 19.559 17.415   0
08 51 22.307 +11 48 43.37 22.733 20.598 18.443  34
08 51 49.144 +11 48 44.06 21.486 21.008 20.249   2
08 52 11.529 +11 48 44.58 19.964 18.416 16.551  74
08 50 58.505 +11 48 43.93 16.405 15.571 14.658  98
08 51 25.842 +11 48 45.62 17.140 16.156 15.049  97
08 50 37.500 +11 48 44.40 21.088 19.290 17.208   7
08 50 17.011 +11 48 45.78 21.034 19.249 17.278  24
08 51 22.914 +11 48 49.37 13.257 12.691 12.051  99
08 52 22.705 +11 48 50.01 15.293 14.586 13.821  99
08 52 24.887 +11 48 50.20 18.567 17.109 15.492   0
08 51 57.576 +11 48 50.21 21.122 19.503 18.241   0
08 52 24.451 +11 48 50.83 19.734 18.122 16.127   0
08 51 14.640 +11 48 50.56 18.677 17.390 15.950  88
08 51 11.642 +11 48 50.54 14.364 13.779 13.113  99
08 51 33.226 +11 48 51.31 13.292 12.704 12.023 100
08 51 35.838 +11 48 51.52 14.206 13.608 12.950 100
08 51 43.461 +11 48 52.18 16.617 15.727 14.775  62
08 51 32.595 +11 48 52.05 11.241 11.067 10.798  96
08 51 30.689 +11 48 52.50 16.723 15.818 14.854  97
08 51 15.014 +11 48 52.76 19.033 17.660 16.048  25
08 51 00.805 +11 48 52.76 15.281 14.614 13.876  99
08 51 02.345 +11 48 53.49 17.328 16.317 15.198  95
08 51 30.312 +11 48 54.62 19.327 17.735 15.957  64
08 51 30.569 +11 48 54.77 13.921 13.315 12.618 100
08 51 25.486 +11 48 54.98 19.148 17.597 15.843  83
08 51 50.321 +11 48 56.03        21.058 19.259   1
08 50 36.672 +11 48 55.29 13.589 12.989 12.329 100
08 50 59.037 +11 48 57.51 14.089 13.541 12.903 100
08 50 53.364 +11 48 57.38 15.893 15.149 14.331  96
08 51 55.512 +11 48 58.46 20.770 20.395 19.803   0
08 51 30.455 +11 48 58.30 13.056 12.053 11.034  98
08 50 27.501 +11 48 57.33 21.010 19.299 17.399   1
08 50 23.762 +11 48 57.37 13.936 13.438 12.851   0
08 51 10.905 +11 48 58.95 17.041 15.978 14.808  95
08 51 07.830 +11 48 58.97        21.240 19.360   0
08 52 16.921 +11 49 00.16 18.703 17.216 15.509  62
08 51 14.817 +11 48 59.91 16.184 15.380 14.519  98
08 50 59.062 +11 49 00.09 17.344 16.361 15.271  96
08 51 24.951 +11 49 00.74 13.840 13.244 12.571 100
08 51 02.122 +11 49 01.27 13.885 13.302 12.606 100
08 51 21.619 +11 49 02.48 15.979 15.204 14.364  97
08 50 53.495 +11 49 01.91 21.003 19.374 17.315  52
08 52 22.226 +11 49 02.95 15.595 14.840 13.983  98
08 51 12.799 +11 49 02.57        21.444 19.540  25
08 50 33.313 +11 49 02.12 15.054 14.379 13.657  99
08 50 25.573 +11 49 02.33 21.989 20.976 20.460  33
08 51 48.706 +11 49 05.12 20.693 19.419 17.963   2
08 51 40.818 +11 49 05.56 14.387 13.799 13.137 100
08 51 23.503 +11 49 05.82 17.171 16.213 15.164  96
08 51 38.416 +11 49 06.08 21.409 21.331 20.472   4
08 50 27.342 +11 49 04.94 20.783 19.486 17.929   7
08 51 34.559 +11 49 06.84 16.463 15.487 14.431  97
08 52 18.007 +11 49 07.40 21.959 21.338 20.582  20
08 52 02.157 +11 49 08.33 13.897 13.335 12.677  94
08 51 25.953 +11 49 08.90 13.817 13.236 12.578 100
08 50 21.413 +11 49 07.24 21.408 20.752 19.905  23
08 51 59.100 +11 49 09.89 20.466 19.756 19.035   3
08 52 20.282 +11 49 10.46        21.391 18.680   6
08 52 18.200 +11 49 11.78 19.792 18.058 15.819   0
08 50 20.129 +11 49 11.04 14.097 13.497 12.858  98
08 51 30.577 +11 49 13.19 13.294 12.695 12.011 100
08 51 22.962 +11 49 13.09 13.735 13.273 12.720 100
08 50 28.302 +11 49 12.41 21.010 19.206 17.056   3
08 52 10.288 +11 49 14.67 21.475 19.580 17.415  38
08 51 22.037 +11 49 14.53 22.237 20.767 18.636  19
08 52 15.042 +11 49 15.77 21.880 21.163 19.041  56
08 51 48.640 +11 49 15.60 11.050 10.893 10.646  84
08 51 21.221 +11 49 16.03 21.975 20.501 18.246  32
08 51 46.022 +11 49 16.90 22.036 20.988 19.717   0
08 50 39.758 +11 49 17.36 20.012 18.898 17.642  37
08 51 53.289 +11 49 19.43 21.776 21.368 19.608   0
08 51 52.561 +11 49 19.23 18.752 17.136 15.265   0
08 51 26.522 +11 49 20.28 14.071 13.485 12.808 100
08 51 15.050 +11 49 21.08 14.753 14.144 13.470  99
08 51 18.541 +11 49 21.45 13.254 12.639 11.972  99
08 50 30.383 +11 49 20.32 21.223 20.847 20.202   6
08 51 19.226 +11 49 24.32 14.445 13.863 13.211  99
08 52 07.149 +11 49 25.41 13.946 13.370 12.717 100
08 51 28.148 +11 49 27.46 13.294 12.787 12.174 100
08 51 05.423 +11 49 26.98 19.940 19.452 18.773   0
08 51 01.562 +11 49 27.19 15.476 14.729 13.912   0
08 52 12.300 +11 49 29.04 18.547 17.266 15.864  89
08 50 11.438 +11 49 27.97        21.144         32
08 50 15.312 +11 49 28.49 20.408 19.416 18.289   7
08 51 49.950 +11 49 31.15 13.203 12.616 11.936  99
08 51 41.365 +11 49 31.56 22.108 21.281 20.071  24
08 51 08.676 +11 49 31.18 15.497 14.800 14.034   0
08 51 08.502 +11 49 32.57 18.517 17.267 15.835   0
08 50 11.696 +11 49 31.39        17.754          0
08 51 36.395 +11 49 33.87 18.794 17.272 15.628  87
08 51 59.353 +11 49 34.62 21.888 20.908 19.861   0
08 51 05.242 +11 49 34.07 14.314 13.754 13.093 100
08 51 01.549 +11 49 34.27 13.257 12.649 11.965 100
08 51 40.222 +11 49 35.84 22.086 22.256         35
08 51 04.736 +11 49 35.90 16.619 15.658 14.668   0
08 51 41.897 +11 49 37.63 15.702 14.956 14.158  98
08 50 55.270 +11 49 36.91        21.131 18.651  12
08 51 19.688 +11 49 39.09 16.530 15.674 14.765  97
08 51 19.123 +11 49 39.15 21.145 20.766 18.454  41
08 50 53.251 +11 49 38.96 19.724 18.628 17.342   0
08 50 36.909 +11 49 42.12 21.355 21.668 20.278  10
08 51 49.145 +11 49 43.54 13.259 12.682 12.013 100
08 51 34.280 +11 49 43.82 13.401 12.854 12.235 100
08 51 38.283 +11 49 44.77 20.283 18.500 16.695  66
08 51 08.161 +11 49 44.58 16.358 15.535 14.664  97
08 51 44.454 +11 49 45.15 20.924 20.116 19.286   8
08 50 11.550 +11 49 44.08        19.735         20
08 52 12.945 +11 49 46.40 18.249 17.020 15.642  88
08 51 09.796 +11 49 46.03 22.248 20.626 18.414  33
08 51 53.166 +11 49 47.36 16.980 16.028 15.039   0
08 50 53.143 +11 49 46.50 16.135 15.342 14.498  97
08 52 16.814 +11 49 47.63 21.865 21.657 20.709  10
08 50 34.393 +11 49 46.38 22.038 20.996 20.219  22
08 50 29.351 +11 49 47.14 20.697 20.207 19.619  25
08 52 17.074 +11 49 48.94 22.672 21.355 18.679  44
08 51 23.774 +11 49 49.28 12.343 11.443 10.532  97
08 50 22.861 +11 49 47.98 18.410 17.092 15.622  90
